KeyRelease event, serial 18, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36801639, (1314,474), root:(1322,554), state 0x0, keycode 50 (keysym 0xffe1), same_screen YES
KeyPress event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803621, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803674, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803733, (1314,474), root:(1322,554), state 0x0, keycode 56 (keysym 0x78), same_screen YES
KeyPress event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803733, (1314,474), root:(1322,554), state 0x0, keycode 56 (keysym 0x78), same_screen YES
KeyRelease event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803780, (1314,474), root:(1322,554), state 0x0, keycode 56 (keysym 0x78), same_screen YES
KeyRelease event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803855, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyPress event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803855, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36803927, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36804320, (1314,474), root:(1322,554), state 0x0, keycode 36 (keysym 0xff0d), same_screen YES
KeyPress event, serial 21, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36804320, (1314,474), root:(1322,554), state 0x0, keycode 36 (keysym 0xff0d), same_screen YES
PropertyNotify event, serial 21, synthetic NO, window 0x180000e, atom 0x27 (WM_NAME), time 36804361, state PropertyNewValue
PropertyNotify event, serial 21, synthetic NO, window 0x180000e, atom 0x25 (WM_ICON_NAME), time 36804361, state PropertyNewValue
PropertyNotify event, serial 21, synthetic NO, window 0x180000e, atom 0x24 (WM_CLIENT_MACHINE), time 36804361, state PropertyNewValue
PropertyNotify event, serial 21, synthetic NO, window 0x180000e, atom 0x182 (WM_LOCALE_NAME), time 36804361, state PropertyNewValue
PropertyNotify event, serial 21, synthetic NO, window 0x180000e, atom 0x18e (_NET_WM_NAME), time 36804361, state PropertyNewValue
PropertyNotify event, serial 21, synthetic NO, window 0x180000e, atom 0x18d (_NET_WM_ICON_NAME), time 36804361, state PropertyNewValue
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36804367, (1314,474), root:(1322,554), state 0x0, keycode 36 (keysym 0xff0d), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36805558, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36805558, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36805611, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809390, (1314,474), root:(1322,554), state 0x0, keycode 50 (keysym 0xffe1), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809390, (1314,474), root:(1322,554), state 0x0, keycode 50 (keysym 0xffe1), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809583, (1314,474), root:(1322,554), state 0x1, keycode 42 (keysym 0x49), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809583, (1314,474), root:(1322,554), state 0x1, keycode 42 (keysym 0x49), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809635, (1314,474), root:(1322,554), state 0x1, keycode 50 (keysym 0xffe1), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809662, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809719, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809719, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36809821, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810488, (1314,474), root:(1322,554), state 0x0, keycode 31 (keysym 0x63), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810488, (1314,474), root:(1322,554), state 0x0, keycode 31 (keysym 0x63), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810555, (1314,474), root:(1322,554), state 0x0, keycode 31 (keysym 0x63), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810584, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810584, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810661, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810675, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810675, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810739, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810814, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810814, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810879, (1314,474), root:(1322,554), state 0x0, keycode 39 (keysym 0x6f), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810879, (1314,474), root:(1322,554), state 0x0, keycode 39 (keysym 0x6f), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810891, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810952, (1314,474), root:(1322,554), state 0x0, keycode 39 (keysym 0x6f), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810986, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36810986, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811063, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811111, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811111, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811194, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811273, (1314,474), root:(1322,554), state 0x0, keycode 59 (keysym 0x77), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811273, (1314,474), root:(1322,554), state 0x0, keycode 59 (keysym 0x77), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811345, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811345, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811357, (1314,474), root:(1322,554), state 0x0, keycode 59 (keysym 0x77), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811397, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811397, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811425, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811476, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811482, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811482, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811580, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811629, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811629, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811691, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811749, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811749, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811822, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811830, (1314,474), root:(1322,554), state 0x0, keycode 39 (keysym 0x6f), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811830, (1314,474), root:(1322,554), state 0x0, keycode 39 (keysym 0x6f), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811929, (1314,474), root:(1322,554), state 0x0, keycode 39 (keysym 0x6f), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811941, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36811941, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812044, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812675, (1314,474), root:(1322,554), state 0x0, keycode 59 (keysym 0x77), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812675, (1314,474), root:(1322,554), state 0x0, keycode 59 (keysym 0x77), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812758, (1314,474), root:(1322,554), state 0x0, keycode 59 (keysym 0x77), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812857, (1314,474), root:(1322,554), state 0x0, keycode 32 (keysym 0x72), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812857, (1314,474), root:(1322,554), state 0x0, keycode 32 (keysym 0x72), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812929, (1314,474), root:(1322,554), state 0x0, keycode 32 (keysym 0x72), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812948, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36812948, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813027, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813035, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813035, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813121, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813129, (1314,474), root:(1322,554), state 0x0, keycode 40 (keysym 0x65), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813129, (1314,474), root:(1322,554), state 0x0, keycode 40 (keysym 0x65), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813217, (1314,474), root:(1322,554), state 0x0, keycode 40 (keysym 0x65), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813225, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813225, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813288, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813331, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813331, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813407, (1314,474), root:(1322,554), state 0x0, keycode 44 (keysym 0x68), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813407, (1314,474), root:(1322,554), state 0x0, keycode 44 (keysym 0x68), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813435, (1314,474), root:(1322,554), state 0x0, keycode 45 (keysym 0x74), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813488, (1314,474), root:(1322,554), state 0x0, keycode 40 (keysym 0x65), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813488, (1314,474), root:(1322,554), state 0x0, keycode 40 (keysym 0x65), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813505, (1314,474), root:(1322,554), state 0x0, keycode 44 (keysym 0x68), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813574, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813574, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813611, (1314,474), root:(1322,554), state 0x0, keycode 40 (keysym 0x65), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813677, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813901, (1314,474), root:(1322,554), state 0x0, keycode 29 (keysym 0x66), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36813901, (1314,474), root:(1322,554), state 0x0, keycode 29 (keysym 0x66), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814009, (1314,474), root:(1322,554), state 0x0, keycode 29 (keysym 0x66), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814178, (1314,474), root:(1322,554), state 0x0, keycode 33 (keysym 0x6c), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814178, (1314,474), root:(1322,554), state 0x0, keycode 33 (keysym 0x6c), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814286, (1314,474), root:(1322,554), state 0x0, keycode 33 (keysym 0x6c), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814335, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814335, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814409, (1314,474), root:(1322,554), state 0x0, keycode 38 (keysym 0x61), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814433, (1314,474), root:(1322,554), state 0x0, keycode 30 (keysym 0x67), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814433, (1314,474), root:(1322,554), state 0x0, keycode 30 (keysym 0x67), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814515, (1314,474), root:(1322,554), state 0x0, keycode 30 (keysym 0x67), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814563, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814563, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814621, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814710, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814710, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814764, (1314,474), root:(1322,554), state 0x0, keycode 42 (keysym 0x69), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814770, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyPress event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814770, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814862, (1314,474), root:(1322,554), state 0x0, keycode 46 (keysym 0x6e), same_screen YES
KeyRelease event, serial 27, synthetic NO, window 0x180000e, root 0x6c0, subw 0x0, time 36814961, (1314,474), root:(1322,554), state 0x0, keycode 65 (keysym 0x20), same_screen YES
